Water Immersion Test
PING 192.168.42.1 (192.168.42.1) 56(84) bytes of data.
64 bytes from 192.168.42.1: icmp_seq=56 ttl=64 time=14.9 ms
64 bytes from 192.168.42.1: icmp_seq=57 ttl=64 time=27.5 ms
64 bytes from 192.168.42.1: icmp_seq=58 ttl=64 time=10.0 ms
64 bytes from 192.168.42.1: icmp_seq=59 ttl=64 time=9.62 ms
64 bytes from 192.168.42.1: icmp_seq=60 ttl=64 time=9.94 ms
64 bytes from 192.168.42.1: icmp_seq=61 ttl=64 time=30.9 ms
64 bytes from 192.168.42.1: icmp_seq=62 ttl=64 time=9.51 ms
64 bytes from 192.168.42.1: icmp_seq=63 ttl=64 time=9.66 ms
64 bytes from 192.168.42.1: icmp_seq=64 ttl=64 time=9.59 ms
64 bytes from 192.168.42.1: icmp_seq=65 ttl=64 time=16.4 ms
64 bytes from 192.168.42.1: icmp_seq=66 ttl=64 time=9.89 ms
64 bytes from 192.168.42.1: icmp_seq=67 ttl=64 time=13.2 ms
64 bytes from 192.168.42.1: icmp_seq=68 ttl=64 time=9.38 ms
64 bytes from 192.168.42.1: icmp_seq=69 ttl=64 time=90.8 ms
64 bytes from 192.168.42.1: icmp_seq=70 ttl=64 time=13.2 ms
64 bytes from 192.168.42.1: icmp_seq=71 ttl=64 time=10.9 ms
64 bytes from 192.168.42.1: icmp_seq=72 ttl=64 time=9.30 ms
64 bytes from 192.168.42.1: icmp_seq=73 ttl=64 time=9.94 ms
64 bytes from 192.168.42.1: icmp_seq=74 ttl=64 time=9.48 ms
64 bytes from 192.168.42.1: icmp_seq=75 ttl=64 time=22.3 ms
64 bytes from 192.168.42.1: icmp_seq=76 ttl=64 time=13.8 ms
64 bytes from 192.168.42.1: icmp_seq=77 ttl=64 time=9.43 ms
64 bytes from 192.168.42.1: icmp_seq=78 ttl=64 time=9.57 ms
64 bytes from 192.168.42.1: icmp_seq=79 ttl=64 time=9.55 ms
64 bytes from 192.168.42.1: icmp_seq=80 ttl=64 time=23.1 ms
64 bytes from 192.168.42.1: icmp_seq=81 ttl=64 time=9.61 ms
64 bytes from 192.168.42.1: icmp_seq=82 ttl=64 time=9.86 ms

--- 192.168.42.1 ping statistics ---
82 packets transmitted, 82 received, 0% packet loss, time 81128ms
rtt min/avg/max/mdev = 8.552/12.936/90.851/9.808 ms

PING 192.168.42.1 (192.168.42.1) 56(84) bytes of data.
64 bytes from 192.168.42.1: icmp_seq=1 ttl=64 time=25.5 ms
64 bytes from 192.168.42.1: icmp_seq=2 ttl=64 time=9.48 ms
64 bytes from 192.168.42.1: icmp_seq=3 ttl=64 time=12.5 ms
64 bytes from 192.168.42.1: icmp_seq=4 ttl=64 time=22.9 ms
64 bytes from 192.168.42.1: icmp_seq=5 ttl=64 time=10.2 ms
64 bytes from 192.168.42.1: icmp_seq=6 ttl=64 time=10.5 ms
64 bytes from 192.168.42.1: icmp_seq=7 ttl=64 time=14.9 ms
64 bytes from 192.168.42.1: icmp_seq=8 ttl=64 time=10.0 ms
64 bytes from 192.168.42.1: icmp_seq=9 ttl=64 time=9.33 ms
64 bytes from 192.168.42.1: icmp_seq=10 ttl=64 time=15.3 ms
64 bytes from 192.168.42.1: icmp_seq=11 ttl=64 time=11.8 ms
64 bytes from 192.168.42.1: icmp_seq=12 ttl=64 time=15.8 ms
64 bytes from 192.168.42.1: icmp_seq=13 ttl=64 time=35.5 ms
64 bytes from 192.168.42.1: icmp_seq=14 ttl=64 time=41.9 ms
64 bytes from 192.168.42.1: icmp_seq=15 ttl=64 time=30.8 ms
64 bytes from 192.168.42.1: icmp_seq=33 ttl=64 time=331 ms
64 bytes from 192.168.42.1: icmp_seq=34 ttl=64 time=138 ms
64 bytes from 192.168.42.1: icmp_seq=35 ttl=64 time=29.2 ms
64 bytes from 192.168.42.1: icmp_seq=36 ttl=64 time=102 ms
64 bytes from 192.168.42.1: icmp_seq=37 ttl=64 time=88.8 ms
64 bytes from 192.168.42.1: icmp_seq=38 ttl=64 time=36.5 ms
64 bytes from 192.168.42.1: icmp_seq=39 ttl=64 time=254 ms
64 bytes from 192.168.42.1: icmp_seq=40 ttl=64 time=68.0 ms
64 bytes from 192.168.42.1: icmp_seq=41 ttl=64 time=105 ms
64 bytes from 192.168.42.1: icmp_seq=42 ttl=64 time=357 ms
64 bytes from 192.168.42.1: icmp_seq=43 ttl=64 time=502 ms
64 bytes from 192.168.42.1: icmp_seq=44 ttl=64 time=58.6 ms
64 bytes from 192.168.42.1: icmp_seq=45 ttl=64 time=135 ms
64 bytes from 192.168.42.1: icmp_seq=46 ttl=64 time=30.1 ms
64 bytes from 192.168.42.1: icmp_seq=47 ttl=64 time=70.0 ms
64 bytes from 192.168.42.1: icmp_seq=48 ttl=64 time=11.0 ms
64 bytes from 192.168.42.1: icmp_seq=49 ttl=64 time=72.0 ms
64 bytes from 192.168.42.1: icmp_seq=50 ttl=64 time=2196 ms
64 bytes from 192.168.42.1: icmp_seq=51 ttl=64 time=1365 ms
64 bytes from 192.168.42.1: icmp_seq=52 ttl=64 time=593 ms
64 bytes from 192.168.42.1: icmp_seq=53 ttl=64 time=67.4 ms
64 bytes from 192.168.42.1: icmp_seq=54 ttl=64 time=13.1 ms
64 bytes from 192.168.42.1: icmp_seq=55 ttl=64 time=15.2 ms
64 bytes from 192.168.42.1: icmp_seq=56 ttl=64 time=11.3 ms
64 bytes from 192.168.42.1: icmp_seq=57 ttl=64 time=345 ms
64 bytes from 192.168.42.1: icmp_seq=62 ttl=64 time=79.8 ms
64 bytes from 192.168.42.1: icmp_seq=63 ttl=64 time=12.1 ms
64 bytes from 192.168.42.1: icmp_seq=64 ttl=64 time=23.7 ms
64 bytes from 192.168.42.1: icmp_seq=65 ttl=64 time=154 ms
64 bytes from 192.168.42.1: icmp_seq=66 ttl=64 time=642 ms
64 bytes from 192.168.42.1: icmp_seq=67 ttl=64 time=34.7 ms
64 bytes from 192.168.42.1: icmp_seq=68 ttl=64 time=11.4 ms
64 bytes from 192.168.42.1: icmp_seq=69 ttl=64 time=14.5 ms
64 bytes from 192.168.42.1: icmp_seq=70 ttl=64 time=19.3 ms
64 bytes from 192.168.42.1: icmp_seq=71 ttl=64 time=10.6 ms
64 bytes from 192.168.42.1: icmp_seq=72 ttl=64 time=11.8 ms
64 bytes from 192.168.42.1: icmp_seq=73 ttl=64 time=10.1 ms
64 bytes from 192.168.42.1: icmp_seq=74 ttl=64 time=18.7 ms
64 bytes from 192.168.42.1: icmp_seq=75 ttl=64 time=11.8 ms
64 bytes from 192.168.42.1: icmp_seq=76 ttl=64 time=10.8 ms
64 bytes from 192.168.42.1: icmp_seq=77 ttl=64 time=11.0 ms
64 bytes from 192.168.42.1: icmp_seq=78 ttl=64 time=24.8 ms
64 bytes from 192.168.42.1: icmp_seq=79 ttl=64 time=10.8 ms
64 bytes from 192.168.42.1: icmp_seq=80 ttl=64 time=9.84 ms
64 bytes from 192.168.42.1: icmp_seq=81 ttl=64 time=10.8 ms
64 bytes from 192.168.42.1: icmp_seq=82 ttl=64 time=19.2 ms
64 bytes from 192.168.42.1: icmp_seq=83 ttl=64 time=18.5 ms
64 bytes from 192.168.42.1: icmp_seq=84 ttl=64 time=11.0 ms
64 bytes from 192.168.42.1: icmp_seq=85 ttl=64 time=9.63 ms
64 bytes from 192.168.42.1: icmp_seq=86 ttl=64 time=13.9 ms
64 bytes from 192.168.42.1: icmp_seq=87 ttl=64 time=70.0 ms
64 bytes from 192.168.42.1: icmp_seq=88 ttl=64 time=12.3 ms
64 bytes from 192.168.42.1: icmp_seq=89 ttl=64 time=9.48 ms
64 bytes from 192.168.42.1: icmp_seq=90 ttl=64 time=9.51 ms
64 bytes from 192.168.42.1: icmp_seq=91 ttl=64 time=10.7 ms
64 bytes from 192.168.42.1: icmp_seq=92 ttl=64 time=10.9 ms
64 bytes from 192.168.42.1: icmp_seq=93 ttl=64 time=27.6 ms
64 bytes from 192.168.42.1: icmp_seq=94 ttl=64 time=28.6 ms
64 bytes from 192.168.42.1: icmp_seq=95 ttl=64 time=14.1 ms
64 bytes from 192.168.42.1: icmp_seq=96 ttl=64 time=59.4 ms
64 bytes from 192.168.42.1: icmp_seq=97 ttl=64 time=17.7 ms
64 bytes from 192.168.42.1: icmp_seq=98 ttl=64 time=11.1 ms
64 bytes from 192.168.42.1: icmp_seq=99 ttl=64 time=11.1 ms
64 bytes from 192.168.42.1: icmp_seq=100 ttl=64 time=9.92 ms
64 bytes from 192.168.42.1: icmp_seq=101 ttl=64 time=9.57 ms
64 bytes from 192.168.42.1: icmp_seq=102 ttl=64 time=10.0 ms
64 bytes from 192.168.42.1: icmp_seq=103 ttl=64 time=30.7 ms
64 bytes from 192.168.42.1: icmp_seq=104 ttl=64 time=11.6 ms
64 bytes from 192.168.42.1: icmp_seq=105 ttl=64 time=12.9 ms
64 bytes from 192.168.42.1: icmp_seq=106 ttl=64 time=14.0 ms
64 bytes from 192.168.42.1: icmp_seq=107 ttl=64 time=31.2 ms
64 bytes from 192.168.42.1: icmp_seq=108 ttl=64 time=17.7 ms
64 bytes from 192.168.42.1: icmp_seq=109 ttl=64 time=113 ms
64 bytes from 192.168.42.1: icmp_seq=110 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=111 ttl=64 time=9.58 ms
64 bytes from 192.168.42.1: icmp_seq=112 ttl=64 time=24.0 ms
64 bytes from 192.168.42.1: icmp_seq=113 ttl=64 time=14.8 ms
64 bytes from 192.168.42.1: icmp_seq=114 ttl=64 time=6.25 ms
64 bytes from 192.168.42.1: icmp_seq=115 ttl=64 time=22.1 ms
64 bytes from 192.168.42.1: icmp_seq=116 ttl=64 time=17.3 ms
64 bytes from 192.168.42.1: icmp_seq=117 ttl=64 time=11.2 ms
64 bytes from 192.168.42.1: icmp_seq=118 ttl=64 time=35.9 ms
64 bytes from 192.168.42.1: icmp_seq=119 ttl=64 time=29.9 ms
64 bytes from 192.168.42.1: icmp_seq=120 ttl=64 time=34.7 ms
64 bytes from 192.168.42.1: icmp_seq=121 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=122 ttl=64 time=13.3 ms
64 bytes from 192.168.42.1: icmp_seq=123 ttl=64 time=10.5 ms
64 bytes from 192.168.42.1: icmp_seq=124 ttl=64 time=15.0 ms
64 bytes from 192.168.42.1: icmp_seq=125 ttl=64 time=9.52 ms
64 bytes from 192.168.42.1: icmp_seq=126 ttl=64 time=10.3 ms
64 bytes from 192.168.42.1: icmp_seq=127 ttl=64 time=9.73 ms
64 bytes from 192.168.42.1: icmp_seq=128 ttl=64 time=9.55 ms
64 bytes from 192.168.42.1: icmp_seq=129 ttl=64 time=19.1 ms
64 bytes from 192.168.42.1: icmp_seq=130 ttl=64 time=10.2 ms
64 bytes from 192.168.42.1: icmp_seq=131 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=132 ttl=64 time=9.98 ms
64 bytes from 192.168.42.1: icmp_seq=133 ttl=64 time=13.0 ms

--- 192.168.42.1 ping statistics ---
133 packets transmitted, 112 received, 15% packet loss, time 132131ms
rtt min/avg/max/mdev = 6.250/83.995/2196.113/258.914 ms, pipe 3
RSSi without water
level=-73 dBm
level=-73 dBm
18 + 21 ft + wall
PING 192.168.42.1 (192.168.42.1) 56(84) bytes of data.
From 192.168.42.2 icmp_seq=9 Destination Host Unreachable
From 192.168.42.2 icmp_seq=10 Destination Host Unreachable
From 192.168.42.2 icmp_seq=11 Destination Host Unreachable
From 192.168.42.2 icmp_seq=12 Destination Host Unreachable
From 192.168.42.2 icmp_seq=13 Destination Host Unreachable
From 192.168.42.2 icmp_seq=14 Destination Host Unreachable
From 192.168.42.2 icmp_seq=15 Destination Host Unreachable
From 192.168.42.2 icmp_seq=16 Destination Host Unreachable
From 192.168.42.2 icmp_seq=17 Destination Host Unreachable
From 192.168.42.2 icmp_seq=18 Destination Host Unreachable
From 192.168.42.2 icmp_seq=19 Destination Host Unreachable
From 192.168.42.2 icmp_seq=20 Destination Host Unreachable
From 192.168.42.2 icmp_seq=21 Destination Host Unreachable
From 192.168.42.2 icmp_seq=22 Destination Host Unreachable
From 192.168.42.2 icmp_seq=23 Destination Host Unreachable
From 192.168.42.2 icmp_seq=24 Destination Host Unreachable
From 192.168.42.2 icmp_seq=25 Destination Host Unreachable
From 192.168.42.2 icmp_seq=26 Destination Host Unreachable
From 192.168.42.2 icmp_seq=27 Destination Host Unreachable
From 192.168.42.2 icmp_seq=28 Destination Host Unreachable
From 192.168.42.2 icmp_seq=29 Destination Host Unreachable
From 192.168.42.2 icmp_seq=30 Destination Host Unreachable
From 192.168.42.2 icmp_seq=31 Destination Host Unreachable
From 192.168.42.2 icmp_seq=32 Destination Host Unreachable
From 192.168.42.2 icmp_seq=33 Destination Host Unreachable
From 192.168.42.2 icmp_seq=34 Destination Host Unreachable
From 192.168.42.2 icmp_seq=35 Destination Host Unreachable
From 192.168.42.2 icmp_seq=36 Destination Host Unreachable
From 192.168.42.2 icmp_seq=37 Destination Host Unreachable
From 192.168.42.2 icmp_seq=38 Destination Host Unreachable
From 192.168.42.2 icmp_seq=39 Destination Host Unreachable
From 192.168.42.2 icmp_seq=40 Destination Host Unreachable
From 192.168.42.2 icmp_seq=41 Destination Host Unreachable
From 192.168.42.2 icmp_seq=42 Destination Host Unreachable
From 192.168.42.2 icmp_seq=43 Destination Host Unreachable
From 192.168.42.2 icmp_seq=44 Destination Host Unreachable
From 192.168.42.2 icmp_seq=45 Destination Host Unreachable
From 192.168.42.2 icmp_seq=46 Destination Host Unreachable
From 192.168.42.2 icmp_seq=47 Destination Host Unreachable
From 192.168.42.2 icmp_seq=48 Destination Host Unreachable
From 192.168.42.2 icmp_seq=49 Destination Host Unreachable
From 192.168.42.2 icmp_seq=50 Destination Host Unreachable
From 192.168.42.2 icmp_seq=51 Destination Host Unreachable
From 192.168.42.2 icmp_seq=52 Destination Host Unreachable
From 192.168.42.2 icmp_seq=53 Destination Host Unreachable
From 192.168.42.2 icmp_seq=54 Destination Host Unreachable
From 192.168.42.2 icmp_seq=55 Destination Host Unreachable
From 192.168.42.2 icmp_seq=56 Destination Host Unreachable
From 192.168.42.2 icmp_seq=57 Destination Host Unreachable
From 192.168.42.2 icmp_seq=58 Destination Host Unreachable
From 192.168.42.2 icmp_seq=59 Destination Host Unreachable
From 192.168.42.2 icmp_seq=60 Destination Host Unreachable
From 192.168.42.2 icmp_seq=61 Destination Host Unreachable
From 192.168.42.2 icmp_seq=62 Destination Host Unreachable
From 192.168.42.2 icmp_seq=63 Destination Host Unreachable
From 192.168.42.2 icmp_seq=64 Destination Host Unreachable
From 192.168.42.2 icmp_seq=65 Destination Host Unreachable
From 192.168.42.2 icmp_seq=66 Destination Host Unreachable
From 192.168.42.2 icmp_seq=67 Destination Host Unreachable
From 192.168.42.2 icmp_seq=68 Destination Host Unreachable
From 192.168.42.2 icmp_seq=69 Destination Host Unreachable
From 192.168.42.2 icmp_seq=70 Destination Host Unreachable
From 192.168.42.2 icmp_seq=71 Destination Host Unreachable
From 192.168.42.2 icmp_seq=72 Destination Host Unreachable
From 192.168.42.2 icmp_seq=73 Destination Host Unreachable
From 192.168.42.2 icmp_seq=74 Destination Host Unreachable
From 192.168.42.2 icmp_seq=75 Destination Host Unreachable
From 192.168.42.2 icmp_seq=76 Destination Host Unreachable
From 192.168.42.2 icmp_seq=77 Destination Host Unreachable
From 192.168.42.2 icmp_seq=78 Destination Host Unreachable
From 192.168.42.2 icmp_seq=79 Destination Host Unreachable
From 192.168.42.2 icmp_seq=80 Destination Host Unreachable
From 192.168.42.2 icmp_seq=81 Destination Host Unreachable
From 192.168.42.2 icmp_seq=82 Destination Host Unreachable
From 192.168.42.2 icmp_seq=83 Destination Host Unreachable
From 192.168.42.2 icmp_seq=84 Destination Host Unreachable
From 192.168.42.2 icmp_seq=85 Destination Host Unreachable
From 192.168.42.2 icmp_seq=86 Destination Host Unreachable
From 192.168.42.2 icmp_seq=87 Destination Host Unreachable
From 192.168.42.2 icmp_seq=88 Destination Host Unreachable
From 192.168.42.2 icmp_seq=89 Destination Host Unreachable
From 192.168.42.2 icmp_seq=90 Destination Host Unreachable
From 192.168.42.2 icmp_seq=91 Destination Host Unreachable
From 192.168.42.2 icmp_seq=92 Destination Host Unreachable
From 192.168.42.2 icmp_seq=93 Destination Host Unreachable
From 192.168.42.2 icmp_seq=94 Destination Host Unreachable
From 192.168.42.2 icmp_seq=95 Destination Host Unreachable
From 192.168.42.2 icmp_seq=96 Destination Host Unreachable
From 192.168.42.2 icmp_seq=97 Destination Host Unreachable
From 192.168.42.2 icmp_seq=98 Destination Host Unreachable
From 192.168.42.2 icmp_seq=99 Destination Host Unreachable
From 192.168.42.2 icmp_seq=100 Destination Host Unreachable
From 192.168.42.2 icmp_seq=101 Destination Host Unreachable
From 192.168.42.2 icmp_seq=102 Destination Host Unreachable
From 192.168.42.2 icmp_seq=103 Destination Host Unreachable
From 192.168.42.2 icmp_seq=104 Destination Host Unreachable
From 192.168.42.2 icmp_seq=105 Destination Host Unreachable
From 192.168.42.2 icmp_seq=106 Destination Host Unreachable
From 192.168.42.2 icmp_seq=107 Destination Host Unreachable
From 192.168.42.2 icmp_seq=108 Destination Host Unreachable
From 192.168.42.2 icmp_seq=109 Destination Host Unreachable
From 192.168.42.2 icmp_seq=110 Destination Host Unreachable
From 192.168.42.2 icmp_seq=111 Destination Host Unreachable
From 192.168.42.2 icmp_seq=112 Destination Host Unreachable
From 192.168.42.2 icmp_seq=113 Destination Host Unreachable
From 192.168.42.2 icmp_seq=114 Destination Host Unreachable
From 192.168.42.2 icmp_seq=115 Destination Host Unreachable
From 192.168.42.2 icmp_seq=116 Destination Host Unreachable
From 192.168.42.2 icmp_seq=117 Destination Host Unreachable
From 192.168.42.2 icmp_seq=118 Destination Host Unreachable
From 192.168.42.2 icmp_seq=119 Destination Host Unreachable
From 192.168.42.2 icmp_seq=120 Destination Host Unreachable
From 192.168.42.2 icmp_seq=121 Destination Host Unreachable
From 192.168.42.2 icmp_seq=122 Destination Host Unreachable
From 192.168.42.2 icmp_seq=123 Destination Host Unreachable
From 192.168.42.2 icmp_seq=124 Destination Host Unreachable
From 192.168.42.2 icmp_seq=125 Destination Host Unreachable
From 192.168.42.2 icmp_seq=126 Destination Host Unreachable
From 192.168.42.2 icmp_seq=127 Destination Host Unreachable
From 192.168.42.2 icmp_seq=128 Destination Host Unreachable
From 192.168.42.2 icmp_seq=129 Destination Host Unreachable
From 192.168.42.2 icmp_seq=130 Destination Host Unreachable
From 192.168.42.2 icmp_seq=131 Destination Host Unreachable
From 192.168.42.2 icmp_seq=132 Destination Host Unreachable
From 192.168.42.2 icmp_seq=133 Destination Host Unreachable
From 192.168.42.2 icmp_seq=134 Destination Host Unreachable
From 192.168.42.2 icmp_seq=135 Destination Host Unreachable
From 192.168.42.2 icmp_seq=136 Destination Host Unreachable
From 192.168.42.2 icmp_seq=137 Destination Host Unreachable
From 192.168.42.2 icmp_seq=138 Destination Host Unreachable
